Disease Name,Chemical,PubChem_CID
High Altitude Celebral Edema,Nirmatrelvir,155903259
High Altitude Celebral Edema,Dexamethasone,5743
High Altitude Celebral Edema,Eleutheroside,12305897
High Altitude Celebral Edema,Rg1,441923
High Altitude Celebral Edema,Curcumin,969516
High Altitude Celebral Edema,CuO,14829
High Altitude Celebral Edema,flavan-4-ol,253959
High Altitude Celebral Edema,IgG,5318569
High Altitude Celebral Edema,6-gingerol,442793
High Altitude Celebral Edema,3-deoxyadenosine,248010
High Altitude Celebral Edema,Ipratropium,657309
