Disease Name,Gene Symbol,Gene ID
Chronic Mountain Sickness,ABCA1,19
Chronic Mountain Sickness,ACE,1636
Chronic Mountain Sickness,AEBP2,121536
Chronic Mountain Sickness,AGT,183
Chronic Mountain Sickness,AGTR1,185
Chronic Mountain Sickness,AKT1,207
Chronic Mountain Sickness,ALAS2,212
Chronic Mountain Sickness,ANP32D,23519
Chronic Mountain Sickness,APOA4,337
Chronic Mountain Sickness,APOC3,345
Chronic Mountain Sickness,AR,367
Chronic Mountain Sickness,ARG1,383
Chronic Mountain Sickness,ARID1B,57492
Chronic Mountain Sickness,ATM,472
Chronic Mountain Sickness,ATP1A1,476
Chronic Mountain Sickness,BMPR2,659
Chronic Mountain Sickness,BRINP3,339479
Chronic Mountain Sickness,C4A,720
Chronic Mountain Sickness,C6,729
Chronic Mountain Sickness,CALR,811
Chronic Mountain Sickness,CARD14,79092
Chronic Mountain Sickness,CAST,831
Chronic Mountain Sickness,CDC42,998
Chronic Mountain Sickness,CNDP1,84735
Chronic Mountain Sickness,COL4A3,1285
Chronic Mountain Sickness,COPS5,10987
Chronic Mountain Sickness,CP,1356
Chronic Mountain Sickness,CRP,1401
Chronic Mountain Sickness,CYP17A1,1586
Chronic Mountain Sickness,CYP1B1,1545
Chronic Mountain Sickness,CYP2E1,1571
Chronic Mountain Sickness,DDIT4,54541
Chronic Mountain Sickness,DNMT1,1786
Chronic Mountain Sickness,EDNRA,1909
Chronic Mountain Sickness,EDNRB,1910
Chronic Mountain Sickness,EGLN1,54583
Chronic Mountain Sickness,EGLN3,112399
Chronic Mountain Sickness,EPAS1,2034
Chronic Mountain Sickness,EPHA2,1969
Chronic Mountain Sickness,EPO,2056
Chronic Mountain Sickness,EPOR,2057
Chronic Mountain Sickness,ERBB4,2066
Chronic Mountain Sickness,FABP5,2171
Chronic Mountain Sickness,FST,10468
Chronic Mountain Sickness,GATA1,2623
Chronic Mountain Sickness,GM2A,2760
Chronic Mountain Sickness,GML,2765
Chronic Mountain Sickness,HAMP,57817
Chronic Mountain Sickness,HBB,3043
Chronic Mountain Sickness,HCAR3,8843
Chronic Mountain Sickness,HR,55806
Chronic Mountain Sickness,HSPA1L,3305
Chronic Mountain Sickness,IFT122,55764
Chronic Mountain Sickness,ITGA6,3655
Chronic Mountain Sickness,KRAS,3845
Chronic Mountain Sickness,LRRC18,474354
Chronic Mountain Sickness,MASP1,5648
Chronic Mountain Sickness,MCTP2,55784
Chronic Mountain Sickness,MPO,4353
Chronic Mountain Sickness,NCOA1,8648
Chronic Mountain Sickness,NFE2,4778
Chronic Mountain Sickness,NOS2,4843
Chronic Mountain Sickness,NPS,594857
Chronic Mountain Sickness,OPA1,4976
Chronic Mountain Sickness,PDK1,5163
Chronic Mountain Sickness,PDP2,57546
Chronic Mountain Sickness,PIK3CD,5293
Chronic Mountain Sickness,PLTP,5360
Chronic Mountain Sickness,PPARA,5465
Chronic Mountain Sickness,PPP1R2P1,100507444
Chronic Mountain Sickness,PRDM1,639
Chronic Mountain Sickness,PRKAA1,5562
Chronic Mountain Sickness,PRKAG2,51422
Chronic Mountain Sickness,RASGRF2,5924
Chronic Mountain Sickness,RHOA,387
Chronic Mountain Sickness,RPS27A,6233
Chronic Mountain Sickness,S100A7,6278
Chronic Mountain Sickness,SENP1,29843
Chronic Mountain Sickness,SGK3,23678
Chronic Mountain Sickness,SIPA1,6494
Chronic Mountain Sickness,SOD2,6648
Chronic Mountain Sickness,TAGLN2,8407
Chronic Mountain Sickness,TBC1D1,23216
Chronic Mountain Sickness,TFRC,7037
Chronic Mountain Sickness,TIMP1,7076
Chronic Mountain Sickness,VEGFA,7422
Chronic Mountain Sickness,VHL,7428
